,geography,cause_of_death,gender,age_desc,age_code,measure,time_format,unit,time,obs_value,age_type
0,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2013,0,child
1,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2014,0,child
2,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2015,0,child
3,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2016,0,child
4,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2017,0,child
5,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2018,0,child
6,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2019,0,child
7,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2020,0,child
8,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2021,0,child
9,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2022,0,child
10,North East,W54 Bitten or struck by dog,Male,Aged under 1,1,Deaths,Annual,Persons,2023,0,child
11,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2013,0,child
12,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2014,0,child
13,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2015,0,child
14,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2016,0,child
15,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2017,0,child
16,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2018,0,child
17,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2019,0,child
18,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2020,0,child
19,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2021,0,child
20,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2022,0,child
21,North East,W54 Bitten or struck by dog,Male,Aged 1 to 4,2,Deaths,Annual,Persons,2023,0,child
22,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2013,0,child
23,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2014,0,child
24,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2015,0,child
25,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2016,0,child
26,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2017,0,child
27,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2018,0,child
28,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2019,0,child
29,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2020,0,child
30,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2021,0,child
31,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2022,0,child
32,North East,W54 Bitten or struck by dog,Male,Aged 5 to 9,3,Deaths,Annual,Persons,2023,0,child
33,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2013,0,child
34,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2014,0,child
35,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2015,0,child
36,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2016,0,child
37,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2017,0,child
38,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2018,0,child
39,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2019,0,child
40,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2020,0,child
41,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2021,0,child
42,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2022,0,child
43,North East,W54 Bitten or struck by dog,Male,Aged 10-14,4,Deaths,Annual,Persons,2023,0,child
44,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2013,0,child
45,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2014,0,child
46,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2015,0,child
47,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2016,0,child
48,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2017,0,child
49,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2018,0,child
50,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2019,0,child
51,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2020,0,child
52,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2021,0,child
53,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2022,0,child
54,North East,W54 Bitten or struck by dog,Male,Aged 15-19,5,Deaths,Annual,Persons,2023,0,child
55,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2013,0,adult
56,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2014,0,adult
57,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2015,0,adult
58,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2016,0,adult
59,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2017,0,adult
60,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2018,0,adult
61,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2019,0,adult
62,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2020,0,adult
63,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2021,0,adult
64,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2022,0,adult
65,North East,W54 Bitten or struck by dog,Male,Aged 20-24,6,Deaths,Annual,Persons,2023,0,adult
66,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2013,0,adult
67,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2014,0,adult
68,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2015,0,adult
69,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2016,0,adult
70,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2017,0,adult
71,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2018,0,adult
72,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2019,0,adult
73,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2020,0,adult
74,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2021,0,adult
75,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2022,0,adult
76,North East,W54 Bitten or struck by dog,Male,Aged 25-29,7,Deaths,Annual,Persons,2023,0,adult
77,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2013,0,adult
78,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2014,0,adult
79,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2015,0,adult
80,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2016,0,adult
81,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2017,0,adult
82,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2018,0,adult
83,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2019,0,adult
84,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2020,0,adult
85,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2021,0,adult
86,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2022,0,adult
87,North East,W54 Bitten or struck by dog,Male,Aged 30-34,8,Deaths,Annual,Persons,2023,0,adult
88,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2013,0,adult
89,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2014,0,adult
90,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2015,0,adult
91,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2016,0,adult
92,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2017,0,adult
93,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2018,0,adult
94,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2019,0,adult
95,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2020,0,adult
96,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2021,0,adult
97,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2022,0,adult
98,North East,W54 Bitten or struck by dog,Male,Aged 35-39,9,Deaths,Annual,Persons,2023,0,adult
99,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2013,0,adult
100,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2014,0,adult
101,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2015,0,adult
102,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2016,0,adult
103,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2017,0,adult
104,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2018,0,adult
105,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2019,0,adult
106,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2020,0,adult
107,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2021,1,adult
108,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2022,0,adult
109,North East,W54 Bitten or struck by dog,Male,Aged 40-44,10,Deaths,Annual,Persons,2023,0,adult
110,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2013,0,adult
111,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2014,0,adult
112,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2015,0,adult
113,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2016,0,adult
114,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2017,0,adult
115,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2018,0,adult
116,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2019,0,adult
117,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2020,0,adult
118,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2021,0,adult
119,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2022,0,adult
120,North East,W54 Bitten or struck by dog,Male,Aged 45-49,11,Deaths,Annual,Persons,2023,0,adult
121,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2013,0,adult
122,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2014,0,adult
123,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2015,0,adult
124,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2016,0,adult
125,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2017,0,adult
126,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2018,0,adult
127,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2019,0,adult
128,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2020,0,adult
129,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2021,0,adult
130,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2022,0,adult
131,North East,W54 Bitten or struck by dog,Male,Aged 50-54,12,Deaths,Annual,Persons,2023,0,adult
132,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2013,0,adult
133,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2014,0,adult
134,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2015,0,adult
135,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2016,0,adult
136,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2017,0,adult
137,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2018,0,adult
138,North East,W54 Bitten or struck by dog,Male,Aged 55-59,13,Deaths,Annual,Persons,2019,0,adult
